RUNNING THE L-BFGS-B CODE

it    = iteration number
nf    = number of function evaluations
nseg  = number of segments explored during the Cauchy search
nact  = number of active bounds at the generalized Cauchy point
sub   = manner in which the subspace minimization terminated:
        con = converged, bnd = a bound was reached
itls  = number of iterations performed in the line search
stepl = step length used
tstep = norm of the displacement (total step)
projg = norm of the projected gradient
f     = function value

           * * *

Machine precision = 2.220D-16
 N =        21141     M =           10

   it   nf  nseg  nact  sub  itls  stepl    tstep     projg        f
   33   34     1   268  con    0  1.0D+00  1.1D+05  8.777D+00  1.458D+10
   34   35     1   267  con    0  1.0D+00  7.2D+04  5.862D+00  1.458D+10
   35   36     1   267  con    0  1.0D+00  4.2D+04  4.358D+00  1.458D+10
   36   37     1   266  con    0  1.0D+00  6.9D+04  3.533D+00  1.458D+10
   37   38     1   266  con    0  1.0D+00  7.9D+04  9.916D+00  1.458D+10
   38   39     1   266  con    0  1.0D+00  4.7D+04  5.210D+00  1.458D+10
   39   40     1   266  con    0  1.0D+00  6.4D+04  3.710D+00  1.458D+10
   40   41     1   266  con    0  1.0D+00  3.8D+04  4.156D+00  1.458D+10
   41   42     1   265  con    0  1.0D+00  6.4D+04  4.003D+00  1.458D+10
   42   43     1   265  con    0  1.0D+00  8.2D+04  1.036D+01  1.458D+10
   43   44     1   265  con    0  1.0D+00  1.3D+04  4.029D+00  1.458D+10
   44   45     1   265  con    0  1.0D+00  2.4D+04  4.127D+00  1.458D+10
   45   46     1   265  con    0  1.0D+00  3.8D+04  4.007D+00  1.458D+10
   46   47     1   265  con    0  1.0D+00  1.0D+05  1.134D+01  1.458D+10
   47   48     1   264  con    0  1.0D+00  6.1D+04  3.961D+00  1.458D+10
   48   49     1   263  con    0  1.0D+00  2.3D+04  3.581D+00  1.458D+10
   49   50     1   263  con    0  1.0D+00  4.8D+04  2.887D+00  1.458D+10
   50   51     1   263  con    0  1.0D+00  7.0D+04  9.221D+00  1.458D+10
   51   52     1   263  con    0  1.0D+00  3.1D+04  4.519D+00  1.458D+10
   52   53     1   263  con    0  1.0D+00  4.3D+04  3.301D+00  1.458D+10
   53   54     1   263  con    0  1.0D+00  2.8D+04  2.849D+00  1.458D+10
   54   55     1   263  con    0  1.0D+00  6.4D+04  5.241D+00  1.458D+10
   55   56     1   263  con    0  1.0D+00  3.6D+04  3.671D+00  1.458D+10
   56   57     1   263  con    0  1.0D+00  1.9D+04  2.790D+00  1.458D+10
   57   58     1   262  con    0  1.0D+00  5.0D+04  3.837D+00  1.458D+10
   58   59     1   262  con    0  1.0D+00  6.2D+04  5.887D+00  1.458D+10
   59   60     1   262  con    0  1.0D+00  6.2D+03  1.775D+00  1.458D+10
   60   61     1   262  con    0  1.0D+00  2.1D+04  2.172D+00  1.458D+10
   61   62     1   262  con    0  1.0D+00  2.8D+04  2.676D+00  1.458D+10
   62   63     1   261  con    0  1.0D+00  8.3D+04  5.735D+00  1.458D+10
   63   64     1   261  con    0  1.0D+00  5.2D+04  3.399D+00  1.458D+10
   64   65     1   261  con    0  1.0D+00  6.7D+03  1.326D+00  1.458D+10
   65   66     1   261  con    0  1.0D+00  2.0D+04  1.711D+00  1.458D+10
   66   67     1   261  con    0  1.0D+00  4.2D+04  4.450D+00  1.458D+10
   67   68     1   261  con    0  1.0D+00  6.2D+04  3.594D+00  1.458D+10
   68   69     1   261  con    0  1.0D+00  6.2D+04  3.811D+00  1.458D+10
   69   70     1   261  con    0  1.0D+00  3.9D+04  4.455D+00  1.458D+10
   70   71     1   261  con    0  1.0D+00  2.3D+04  2.145D+00  1.458D+10
   71   72     1   261  con    0  1.0D+00  4.7D+04  3.301D+00  1.458D+10
   72   73     1   261  con    0  1.0D+00  6.0D+04  5.449D+00  1.458D+10
   73   74     1   261  con    0  1.0D+00  1.5D+04  2.674D+00  1.458D+10
   74   75     1   261  con    0  1.0D+00  3.1D+04  2.598D+00  1.458D+10
   75   76     1   261  con    0  1.0D+00  3.6D+04  2.061D+00  1.458D+10
   76   77     1   261  con    0  1.0D+00  9.5D+04  6.125D+00  1.458D+10
   77   78     1   261  con    0  1.0D+00  3.8D+04  2.554D+00  1.458D+10
   78   79     1   261  con    0  1.0D+00  9.6D+03  1.600D+00  1.458D+10
   79   80     1   261  con    0  1.0D+00  3.0D+04  2.474D+00  1.458D+10
   80   81     1   261  con    0  1.0D+00  5.3D+04  4.546D+00  1.458D+10
   81   82     1   261  con    0  1.0D+00  3.5D+04  2.702D+00  1.458D+10
   82   83     1   261  con    0  1.0D+00  4.0D+04  1.562D+00  1.458D+10
   83   84     1   261  con    0  1.0D+00  3.3D+04  2.647D+00  1.458D+10
   84   85     1   261  con    0  1.0D+00  5.1D+04  3.164D+00  1.458D+10
   85   86     1   261  con    0  1.0D+00  3.0D+04  3.082D+00  1.458D+10
   86   87     1   261  con    0  1.0D+00  1.7D+04  1.473D+00  1.458D+10
   87   88     1   261  con    0  1.0D+00  1.6D+04  7.742D-01  1.458D+10
   88   89     1   261  con    0  1.0D+00  3.5D+04  2.393D+00  1.458D+10
   89   90     1   261  con    0  1.0D+00  4.7D+04  1.980D+00  1.458D+10
   90   91     1   260  con    0  1.0D+00  2.2D+04  1.248D+00  1.458D+10
   91   92     1   260  con    0  1.0D+00  2.5D+04  1.434D+00  1.458D+10
   92   93     1   260  con    0  1.0D+00  2.1D+04  1.823D+00  1.458D+10
   93   94     1   260  con    0  1.0D+00  2.2D+04  1.240D+00  1.458D+10
   94   95     1   260  con    0  1.0D+00  3.6D+04  4.140D+00  1.458D+10
   95   96     1   260  con    0  1.0D+00  1.4D+04  1.292D+00  1.458D+10
   96   97     1   260  con    0  1.0D+00  6.2D+03  1.716D+00  1.458D+10
   97   98     1   260  con    0  1.0D+00  2.7D+04  2.145D+00  1.458D+10
   98   99     1   260  con    0  1.0D+00  3.8D+04  3.766D+00  1.458D+10
   99  100     1   260  con    0  1.0D+00  2.9D+03  1.198D+00  1.458D+10
  100  101     1   260  con    0  1.0D+00  1.2D+04  1.218D+00  1.458D+10
  101  102     1   260  con    0  1.0D+00  1.7D+04  1.476D+00  1.458D+10
